FID,Empire,Continent,Origin,StartOriginal,Start,End,heightArea,heightYear,Length,pop0,pop25,pop50,pop75,pop100,SameStartYear,ModifiedStartYear,Information
21,Benin Empire,Africa,Nigeria,1440,1440,1897,0.01,1668.5,457,0,39,71,81,0,0,1440,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
22,Bornu Empire,Africa,Nigeria,1387,1387,1893,0.01,1640,506,0,48,72,86,0,0,1387,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
23,Britannic Empire,Europe,Britain,286,286,296,0.01,291,10,0,32,60,53,0,0,286,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
24,British Empire,Europe,United Kingdom,1603,1603,1997,35.5,1920,394,0,38,65,93,0,0,1603,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
25,British Raj,Asia,Indian Subcontinent,1858,1858,1947,0.01,1902.5,89,0,35,78,66,0,0,1858,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
26,Bruneian Empire,Asia,Borneo,1368,1368,1888,0.01,1628,520,0,46,52,83,0,0,1368,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
27,Buyid dynasty,Asia,Persia,934,934,1055,1.6,980,121,0,37,58,55,0,0,934,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
28,Byzantine Empire,Europe,"Eastern Roman EmpireÂ (Greece,Â Anatolia,Â Africa,Â Palestine,Â Syria,Â Italy)",284,284,1460,2.7,555,1176,0,48,93,87,0,0,284,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
29,Caliphate of CÃ³rdoba,Europe,Iberian Peninsula,756,756,1031,0.6,1000,275,0,19,99,50,0,0,756,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
30,Carthaginian Empire,Africa,North Africa,-814,-814,-146,0.01,-480,668,0,30,66,60,0,0,-814,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
31,Cebu Rajahnate,Asia,Philippines,1279,1279,1565,0.01,1422,286,0,47,57,58,0,0,1279,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
32,Chagatai Khanate,Asia,Transoxania,1225,1225,1687,3.5,1310,462,0,31,67,70,0,0,1225,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
33,Chalukya dynasty,Asia,India,543,543,753,0.01,648,210,0,45,96,51,0,0,543,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
34,Chauhan dynasty,Asia,Northern India,800,800,1200,0.01,1000,400,0,31,52,84,0,0,800,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
35,Chenla,Asia,Cambodia,550,550,802,0.01,676,252,0,24,60,85,0,0,550,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
36,Chera dynasty,Asia,South India,-400,-400,1729,0.01,664.5,2129,0,25,72,73,0,0,-400,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
37,Chola dynasty,Asia,South India,-400,-399.95,1540,0.01,570,1940,0,25,76,89,0,1,-399.9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
38,Congo Free State,Africa,actualÂ Congo-Kinshasa,1885,1885,1908,0.01,1896.5,23,0,41,100,80,0,0,1885,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
39,Crimean Khanate,Europe,Black Sea,1441,1441,1783,0.01,1612,342,0,31,93,71,0,0,1441,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
